Airport,Name,Node,A,B,C,D,E,F,Property
RKSI,33,33_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,112,112_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,115,115_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,202,202_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,39,39_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,34,34_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,117,117_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,114,114_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,35,35_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,203,203_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,38,38_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,221,221_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,36,36_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,37,37_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,119,119_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,204,204_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,222,222_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,121,121_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,205,205_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,223,223_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,118,118_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,123,123_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,224,224_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,206,206_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,300,300_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,122,122_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,125,125_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,225,225_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,207,207_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,301,301_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,124,124_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,127,127_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,208,208_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,226,226_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,302,302_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,126,126_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,129,129_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,209,209_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,227,227_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,303,303_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,131,131_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,128,128_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,132,132_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,210,210_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,130,130_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,211,211_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,305,305_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,228,228_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,212,212_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,229,229_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,213,213_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,230,230_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,214,214_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,231,231_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,215,215_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,232,232_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,233,233_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,234,234_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,311,311_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,312,312_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,313,313_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,314,314_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,701,701_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,315,315_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,702,702_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,703,703_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,704,704_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,705,705_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,706,706_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,707,707_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,708,708_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,709,709_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,710,710_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
