Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
MDA7398,E190,B16825,RCMQ,RKSI,25000,2015-05-13 01:24:00,,,,,,MDA,PULUN_RKSI
AFL250,A333,VQBQZ,UUEE,RKSI,25000,2015-05-13 01:25:00,,,,,,AFL,PULUN_RKSI
DLH719,A343,DAIFD,RKPK,RKSI,25000,2015-05-13 01:26:00,,,,,,DLH,PULUN_RKSI
CES579,A320,B6260,ZSNJ,RKSI,25000,2015-05-13 01:27:00,,,,,,CES,PULUN_RKSI
AAR161,A321,HL7731,RJOA,RKSI,25000,2015-05-13 01:28:00,,,,,,AAR,PULUN_RKSI
CES549,A320,B2400,ZSYT,RKSI,25000,2015-05-13 01:29:00,,,,,,CES,PULUN_RKSI
CAL160,B744,B18207,RCTP,RKSI,25000,2015-05-13 01:30:00,,,,,,CAL,PULUN_RKSI
KAL748,B739,HL7725,RJOB,RKSI,25000,2015-05-13 01:31:00,,,,,,KAL,PULUN_RKSI
CSN313,B738,B5191,ZSPD,RKSI,25000,2015-05-13 01:32:00,,,,,,CSN,PULUN_RKSI
CCA171,B737,B2580,ZBTJ,RKSI,25000,2015-05-13 01:33:00,,,,,,CCA,PULUN_RKSI
AAR115,B763,HL7516,RJBB,RKSI,25000,2015-05-13 01:34:00,,,,,,AAR,PULUN_RKSI
DLH712,A346,DAIHH,EDDF,RKSI,25000,2015-05-13 01:35:00,,,,,,DLH,PULUN_RKSI
KAL752,B747,HL7461,RJGG,RKSI,25000,2015-05-13 01:36:00,,,,,,KAL,PULUN_RKSI
KAL722,A333,HL7585,RJBB,RKSI,25000,2015-05-13 01:37:00,,,,,,KAL,PULUN_RKSI
KAL936,B777,HL7598,LKPR,RKSI,25000,2015-05-13 01:38:00,,,,,,KAL,PULUN_RKSI
AAR107,B763,HL7514,RJAA,RKSI,25000,2015-05-13 01:39:00,,,,,,AAR,PULUN_RKSI
CSN681,A321,B6265,ZYTX,RKSI,25000,2015-05-13 01:40:00,,,,,,CSN,PULUN_RKSI
KAL1404,B737,HL7566,RKPK,RKSI,25000,2015-05-13 01:41:00,,,,,,KAL,PULUN_RKSI
KAL904,B744,HL7492,LFPG,RKSI,25000,2015-05-13 01:42:00,,,,,,KAL,PULUN_RKSI
AAR368,B763,HL7515,ZSPD,RKSI,25000,2015-05-13 01:43:00,,,,,,AAR,PULUN_RKSI
KAL764,B737,HL8221,RJSN,RKSI,25000,2015-05-13 01:44:00,,,,,,KAL,PULUN_RKSI
KAL952,B772,HL7715,OMDB,RKSI,25000,2015-05-13 01:45:00,,,,,,KAL,PULUN_RKSI
CCA139,A319,B6022,ZSHC,RKSI,25000,2015-05-13 01:46:00,,,,,,CCA,PULUN_RKSI
KAL788,A333,HL7702,RJFF,RKSI,25000,2015-05-13 01:47:00,,,,,,KAL,PULUN_RKSI
