Time,Name,Aircraft,Instruction,InstructionTimeInSeconds
2012-05-13 07:15:01,SeoulApproach,JJA2202,AssignSpot(NonWork)->118,0
2012-05-13 07:15:01,SeoulApproach,JJA2202,Landing,11
2012-05-13 07:16:00,IncheonTower2,BCC868,Crossing,7
2012-05-13 07:18:32,SeoulApproach,JJA2202,FreqencyChange,11
2012-05-13 07:18:32,IncheonTower2,JJA2202,Landing,11
2012-05-13 07:19:16,IncheonGround,AFR264,Taxi,0
2012-05-13 07:19:16,IncheonTower2,AFR264,FreqencyChange,11
2012-05-13 07:22:38,IncheonGround,BCC868,Taxi,0
2012-05-13 07:22:38,IncheonTower2,BCC868,FreqencyChange,11
2012-05-13 07:23:01,SeoulApproach,SIA608,AssignSpot(NonWork)->123,0
2012-05-13 07:23:01,SeoulApproach,SIA608,Landing,11
2012-05-13 07:23:01,IncheonGround,CEB191,Pushback,9
2012-05-13 07:25:05,IncheonTower2,JJA2202,Taxi,0
2012-05-13 07:25:59,IncheonGround,JAL950,AssignSpot(NonWork)->115,0
2012-05-13 07:26:00,IncheonGround,KAL621,AssignSpot(NonWork)->12,0
2012-05-13 07:26:26,SeoulApproach,SIA608,FreqencyChange,11
2012-05-13 07:26:26,IncheonTower2,SIA608,Landing,11
2012-05-13 07:26:57,IncheonTower2,JJA2202,Crossing,7
2012-05-13 07:26:59,IncheonGround,AMU825,AssignSpot(NonWork)->129,0
2012-05-13 07:27:01,SeoulApproach,JJA2702,AssignSpot(NonWork)->34,0
2012-05-13 07:27:01,SeoulApproach,JJA2702,Landing,11
2012-05-13 07:27:57,IncheonGround,CEB191,Taxi,0
2012-05-13 07:27:59,IncheonGround,PAL467,AssignSpot(NonWork)->113,0
2012-05-13 07:28:01,IncheonGround,AAR8531,Pushback,9
2012-05-13 07:30:25,SeoulApproach,JJA2702,FreqencyChange,11
2012-05-13 07:30:25,IncheonTower2,JJA2702,Landing,11
2012-05-13 07:30:59,IncheonGround,KAL787,AssignSpot(NonWork)->24,0
2012-05-13 07:31:57,IncheonGround,CEB191,FreqencyChange,11
2012-05-13 07:32:16,IncheonGround,JJA2202,Taxi,0
2012-05-13 07:32:16,IncheonTower2,JJA2202,FreqencyChange,11
2012-05-13 07:32:28,IncheonTower2,CEB191,Lineup,9
2012-05-13 07:32:55,IncheonTower2,SIA608,Taxi,0
2012-05-13 07:32:58,IncheonGround,AAR8531,Taxi,0
2012-05-13 07:32:59,IncheonGround,KAL831,AssignSpot(NonWork)->6,0
2012-05-13 07:32:59,IncheonGround,KAL845,AssignSpot(NonWork)->28,0
2012-05-13 07:33:17,IncheonTower2,CEB191,Takeoff,11
2012-05-13 07:34:21,IncheonTower2,SIA608,Crossing,7
2012-05-13 07:35:04,IncheonGround,AAR8531,FreqencyChange,11
2012-05-13 07:35:25,IncheonTower2,AAR8531,Lineup,9
2012-05-13 07:36:00,IncheonTower2,CEB191,FreqencyChange,11
2012-05-13 07:36:12,IncheonTower2,AAR8531,Takeoff,11
2012-05-13 07:36:50,IncheonTower2,JJA2702,Taxi,0
2012-05-13 07:36:59,IncheonGround,CSN316,AssignSpot(NonWork)->103,0
2012-05-13 07:37:01,SeoulApproach,FIN041,AssignSpot(NonWork)->126,0
2012-05-13 07:37:01,SeoulApproach,FIN041,Landing,11
2012-05-13 07:38:10,IncheonTower2,JJA2702,Crossing,7
2012-05-13 07:38:49,IncheonTower2,AAR8531,FreqencyChange,11
2012-05-13 07:40:01,SeoulApproach,KAL1412,AssignSpot(NonWork)->2,0
